Tiempo(s)	Voltaje(V)
3.589999999999999858e-01	1.636210473661776632e-01
3.599999999999999867e-01	2.543416059634182602e-01
3.609999999999999876e-01	2.331091348023619503e-01
3.619999999999999885e-01	2.704268113884609193e-01
3.629999999999999893e-01	1.951480499992612749e-01
3.639999999999999902e-01	1.661946802341844887e-01
3.649999999999999911e-01	2.572369429399259388e-01
3.659999999999999920e-01	2.353610635618679225e-01
3.669999999999999929e-01	2.704268113884609193e-01
3.679999999999999938e-01	1.973999787587672472e-01
3.689999999999999947e-01	1.661946802341844887e-01
3.699999999999999956e-01	2.569152388314250857e-01
3.709999999999999964e-01	2.305355019343551248e-01
3.719999999999999973e-01	2.656012497609481215e-01
3.729999999999999982e-01	1.961131623247638345e-01
3.739999999999999991e-01	1.636210473661776632e-01
3.750000000000000000e-01	2.543416059634182602e-01
3.760000000000000009e-01	2.231363074388355017e-01
3.770000000000000018e-01	2.617408004589378834e-01
3.780000000000000027e-01	1.990084993012715131e-01
3.790000000000000036e-01	1.645861596916802227e-01
3.800000000000000044e-01	2.562718306144233793e-01
3.810000000000000053e-01	2.186324499198235571e-01
3.820000000000000062e-01	2.620625045674387366e-01
3.830000000000000071e-01	2.025472444947808981e-01
3.840000000000000080e-01	1.681249048851896077e-01
3.850000000000000089e-01	2.572369429399259388e-01
3.860000000000000098e-01	2.109115513158030808e-01
3.870000000000000107e-01	2.585237593739293516e-01
3.880000000000000115e-01	2.012604280607774854e-01
3.890000000000000124e-01	1.645861596916802227e-01
3.900000000000000133e-01	2.540199018549174070e-01
3.910000000000000142e-01	2.025472444947808981e-01
3.920000000000000151e-01	2.562718306144233793e-01
3.930000000000000160e-01	2.002953157352749258e-01
3.940000000000000169e-01	1.652295679086819291e-01
3.950000000000000178e-01	2.549850141804199666e-01
3.960000000000000187e-01	2.002953157352749258e-01
3.970000000000000195e-01	2.569152388314250857e-01
3.980000000000000204e-01	2.035123568202834576e-01
3.990000000000000213e-01	1.674814966681879014e-01
4.000000000000000222e-01	2.572369429399259388e-01
4.010000000000000231e-01	1.999736116267740726e-01
4.020000000000000240e-01	2.585237593739293516e-01
4.030000000000000249e-01	2.025472444947808981e-01
4.040000000000000258e-01	1.661946802341844887e-01
4.050000000000000266e-01	2.553067182889208198e-01
4.060000000000000275e-01	1.964348664332646877e-01
4.069999999999999729e-01	2.549850141804199666e-01
4.079999999999999738e-01	2.009387239522766322e-01
4.089999999999999747e-01	1.639427514746785164e-01
4.099999999999999756e-01	2.546633100719191134e-01
4.109999999999999765e-01	1.961131623247638345e-01
4.119999999999999774e-01	2.559501265059225261e-01
4.129999999999999782e-01	2.022255403862800449e-01
4.139999999999999791e-01	1.671597925596870482e-01
4.149999999999999800e-01	2.575586470484267920e-01
4.159999999999999809e-01	1.973999787587672472e-01
4.169999999999999818e-01	2.578803511569276452e-01
4.179999999999999827e-01	2.035123568202834576e-01
4.189999999999999836e-01	1.665163843426853418e-01
4.199999999999999845e-01	2.562718306144233793e-01
4.209999999999999853e-01	1.961131623247638345e-01
4.219999999999999862e-01	2.546633100719191134e-01
4.229999999999999871e-01	1.999736116267740726e-01
4.239999999999999880e-01	1.639427514746785164e-01
4.249999999999999889e-01	2.533764936379157007e-01
4.259999999999999898e-01	1.941829376737587154e-01
4.269999999999999907e-01	2.546633100719191134e-01
4.279999999999999916e-01	2.006170198437757790e-01
4.289999999999999925e-01	1.658729761256836355e-01
4.299999999999999933e-01	2.572369429399259388e-01
4.309999999999999942e-01	1.967565705417655408e-01
4.319999999999999951e-01	2.582020552654284984e-01
4.329999999999999960e-01	2.044774691457860172e-01
4.339999999999999969e-01	1.674814966681879014e-01
4.349999999999999978e-01	2.578803511569276452e-01
4.359999999999999987e-01	1.970782746502663940e-01
4.369999999999999996e-01	2.569152388314250857e-01
4.380000000000000004e-01	2.015821321692783386e-01
4.390000000000000013e-01	1.649078638001810759e-01
4.400000000000000022e-01	2.562718306144233793e-01
4.410000000000000031e-01	1.945046417822595686e-01
4.420000000000000040e-01	2.543416059634182602e-01
4.430000000000000049e-01	2.012604280607774854e-01
4.440000000000000058e-01	1.674814966681879014e-01
4.450000000000000067e-01	2.610973922419361770e-01
4.460000000000000075e-01	1.967565705417655408e-01
4.470000000000000084e-01	2.572369429399259388e-01
4.480000000000000093e-01	2.041557650372851640e-01
4.490000000000000102e-01	1.771326199232134968e-01
4.500000000000000111e-01	2.684965867374558002e-01
4.510000000000000120e-01	1.977216828672681004e-01
4.520000000000000129e-01	2.575586470484267920e-01
4.530000000000000138e-01	2.031906527117826045e-01
4.540000000000000147e-01	1.851752226357348263e-01
4.550000000000000155e-01	2.707485154969617724e-01
4.560000000000000164e-01	1.954697541077621281e-01
4.570000000000000173e-01	2.543416059634182602e-01
4.580000000000000182e-01	1.996519075182732195e-01
4.590000000000000191e-01	1.935395294567570090e-01
4.600000000000000200e-01	2.723570360394660383e-01
4.610000000000000209e-01	2.051208773627877235e-01
4.620000000000000218e-01	2.562718306144233793e-01
4.630000000000000226e-01	2.012604280607774854e-01
4.640000000000000235e-01	2.044774691457860172e-01
4.650000000000000244e-01	2.771825976669788361e-01
4.660000000000000253e-01	2.469424114678986371e-01
4.670000000000000262e-01	2.588454634824302047e-01
4.680000000000000271e-01	2.025472444947808981e-01
4.689999999999999725e-01	2.096247348817996681e-01
4.699999999999999734e-01	2.771825976669788361e-01
4.709999999999999742e-01	3.116049372765701264e-01
4.719999999999999751e-01	2.559501265059225261e-01
4.729999999999999760e-01	1.996519075182732195e-01
4.739999999999999769e-01	2.096247348817996681e-01
4.749999999999999778e-01	2.752523730159737170e-01
4.759999999999999787e-01	3.894573315337765962e-01
4.769999999999999796e-01	2.565935347229242325e-01
4.779999999999999805e-01	1.999736116267740726e-01
4.789999999999999813e-01	2.138068882923107594e-01
4.799999999999999822e-01	2.784694141009822488e-01
4.809999999999999831e-01	4.566934902104549110e-01
4.819999999999999840e-01	2.585237593739293516e-01
4.829999999999999849e-01	2.022255403862800449e-01
4.839999999999999858e-01	2.167022252688184381e-01
4.849999999999999867e-01	2.794345264264848083e-01
4.859999999999999876e-01	5.007669530750717968e-01
4.869999999999999885e-01	2.572369429399259388e-01
4.879999999999999893e-01	1.999736116267740726e-01
4.889999999999999902e-01	2.144502965093124658e-01
4.899999999999999911e-01	2.762174853414762765e-01
4.909999999999999920e-01	5.255381694296374917e-01
4.919999999999999929e-01	2.546633100719191134e-01
4.929999999999999938e-01	1.986867951927706599e-01
4.939999999999999947e-01	2.144502965093124658e-01
4.949999999999999956e-01	2.765391894499771297e-01
4.959999999999999964e-01	5.435535995056852698e-01
4.969999999999999973e-01	2.578803511569276452e-01
4.979999999999999982e-01	2.009387239522766322e-01
4.989999999999999991e-01	2.176673375943209976e-01
5.000000000000000000e-01	2.800779346434865147e-01
5.010000000000000009e-01	5.551349474117159843e-01
5.020000000000000018e-01	2.585237593739293516e-01
5.030000000000000027e-01	2.009387239522766322e-01
5.040000000000000036e-01	2.163805211603175849e-01
5.050000000000000044e-01	2.781477099924813956e-01
5.060000000000000053e-01	5.577085802797228098e-01
5.070000000000000062e-01	2.546633100719191134e-01
5.080000000000000071e-01	1.977216828672681004e-01
5.090000000000000080e-01	2.134851841838099062e-01
5.100000000000000089e-01	2.768608935584779829e-01
5.110000000000000098e-01	5.609256213647313416e-01
5.120000000000000107e-01	2.569152388314250857e-01
5.130000000000000115e-01	1.993302034097723663e-01
5.140000000000000124e-01	2.163805211603175849e-01
5.150000000000000133e-01	2.787911182094831020e-01
5.160000000000000142e-01	5.660728871007449925e-01
5.170000000000000151e-01	2.585237593739293516e-01
5.180000000000000160e-01	2.006170198437757790e-01
5.190000000000000169e-01	2.170239293773192912e-01
5.200000000000000178e-01	2.784694141009822488e-01
5.210000000000000187e-01	5.641426624497398734e-01
5.220000000000000195e-01	2.556284223974216729e-01
5.230000000000000204e-01	1.977216828672681004e-01
5.240000000000000213e-01	2.131634800753090531e-01
5.250000000000000222e-01	2.755740771244745702e-01
5.260000000000000231e-01	5.631775501242373139e-01
5.270000000000000240e-01	2.543416059634182602e-01
5.280000000000000249e-01	1.986867951927706599e-01
5.290000000000000258e-01	2.150937047263141721e-01
5.300000000000000266e-01	2.771825976669788361e-01
5.310000000000000275e-01	5.657511829922441393e-01
5.320000000000000284e-01	2.582020552654284984e-01
5.330000000000000293e-01	2.009387239522766322e-01
5.340000000000000302e-01	2.173456334858201444e-01
5.350000000000000311e-01	2.784694141009822488e-01
5.360000000000000320e-01	5.654294788837432861e-01
5.370000000000000329e-01	2.569152388314250857e-01
5.380000000000000338e-01	1.996519075182732195e-01
5.390000000000000346e-01	2.144502965093124658e-01
5.400000000000000355e-01	2.752523730159737170e-01
5.410000000000000364e-01	5.618907336902339011e-01
5.420000000000000373e-01	2.536981977464165539e-01
5.430000000000000382e-01	1.977216828672681004e-01
5.440000000000000391e-01	2.141285924008116126e-01
5.450000000000000400e-01	2.768608935584779829e-01
5.460000000000000409e-01	5.634992542327381670e-01
5.470000000000000417e-01	2.562718306144233793e-01
5.480000000000000426e-01	2.022255403862800449e-01
5.490000000000000435e-01	2.167022252688184381e-01
5.500000000000000444e-01	2.787911182094831020e-01
5.510000000000000453e-01	5.654294788837432861e-01
5.520000000000000462e-01	2.553067182889208198e-01
5.530000000000000471e-01	2.028689486032817513e-01
5.540000000000000480e-01	2.150937047263141721e-01
5.550000000000000488e-01	2.775043017754796892e-01
5.560000000000000497e-01	5.667162953177466989e-01
5.570000000000000506e-01	2.495160443359054625e-01
5.580000000000000515e-01	2.015821321692783386e-01
5.590000000000000524e-01	2.138068882923107594e-01
5.600000000000000533e-01	2.758957812329754233e-01
5.610000000000000542e-01	5.770108267897740006e-01
5.620000000000000551e-01	2.472641155763994902e-01
5.629999999999999449e-01	2.041557650372851640e-01
5.639999999999999458e-01	2.160588170518167317e-01
5.649999999999999467e-01	2.787911182094831020e-01
5.659999999999999476e-01	5.940611445403192192e-01
5.669999999999999485e-01	2.469424114678986371e-01
5.679999999999999494e-01	2.070511020137928426e-01
5.689999999999999503e-01	2.163805211603175849e-01
5.699999999999999512e-01	2.781477099924813956e-01
5.709999999999999520e-01	6.069293088803533465e-01
5.719999999999999529e-01	2.417951457318849862e-01
5.729999999999999538e-01	2.038340609287843108e-01
5.739999999999999547e-01	2.131634800753090531e-01
5.749999999999999556e-01	2.758957812329754233e-01
5.759999999999999565e-01	6.165804321353789419e-01
5.769999999999999574e-01	2.398649210808798671e-01
5.779999999999999583e-01	2.044774691457860172e-01
